Start x,Start y,End x,End y,Nav. by wheelchair?,No Stairs?
2038.6,359.6,2039.1,385.1,T,T
1808.6,623.8,1804.7,585.9,T,T
2372.6,2098.8,2365.2,2084,T,T
3356.3,1129.9,3356.9,1077.8,T,T
2460.8,2016.9,2487.6,1959.2,T,T
1721,675,1720.3,716.1,T,T
1151.6,1242.3,1198.1,1241.7,T,T
2038.6,359.6,2079.2,356.4,T,T
1521.7,877.9,1557.5,877.9,T,T
1423.4,961.9,1423,1026.6,T,T
2231.3,2242.9,2224.8,2233.2,T,T
1602.5,827.2,1605,803.6,T,T
2231.3,2242.9,2207.8,2253.2,T,T
1808.6,623.8,1816.4,590.6,T,T
1277.9,1137.1,1286.8,1137.8,T,T
2609,1856.2,2595.3,1876.6,T,T
986.6,1413.9,979,1432,T,T
1805.3,640.6,1756.1,642,T,T
1340.2,1104.1,1340.9,1059.2,T,T
1537.1,900,1511,899.3,T,T
1944.9,490.6,1933.6,479.8,T,T
920.3,1513.3,927.6,1492.2,T,T
2333.3,2158.7,2268.9,2189.3,T,T
1528.2,889.7,1537.1,900,T,T
1918.4,543.1,1912.8,481.5,T,T
1706,715,1720.3,716.1,T,T
941.9,1496.7,927.6,1492.2,T,T
1761.4,684.4,1761.5,650.8,T,T
2569,1902,2591,1892,T,T
2281.1,2215.8,2268.9,2189.3,T,T
2591,1892,2595.3,1876.6,T,T
2154.8,357.1,2153.4,197.5,T,T
2609,1856.2,2633,1861,T,T
1919,2566.9,1947,2527.7,T,T
1602.5,827.2,1557.5,877.9,T,T
1808.6,623.8,1811.3,626.3,T,T
2004.2,448.6,1984.6,433.2,T,T
2609,1856.2,2643.4,1857.7,T,T
1225.5,1154.6,1336.8,1155.4,T,T
1721,675,1762.1,716.5,T,T
2678.2,1771.2,2659.5,1861.2,T,T
1944.9,490.6,1954.1,485.2,T,T
2372.6,2098.8,2386.9,2114.1,T,T
986.6,1413.9,1061.5,1415.2,T,T
2460.8,2016.9,2429.2,2066.4,T,T
920.3,1513.3,919,1525,T,T
1805.3,640.6,1808.6,623.8,T,T
2590,1902,2591,1892,T,T
1480.9,900.8,1480,930,T,T
2079.2,385.1,2039.1,385.1,T,T
941.9,1496.7,936.3,1514,T,T
2231.3,2242.9,2285.4,2226.1,T,T
1227.1,1242,1226.1,1195.2,T,T
1364.6,1023.8,1364.6,1137.5,T,T
1954.1,485.2,1981.2,472.8,T,T
2060.8,408.9,2039.1,385.1,T,T
1720.3,716.1,1720.3,738.6,T,T
2548,1972,2569,1902,T,T
2333.3,2158.7,2386.9,2114.1,T,T
1338.3,1135.1,1286.8,1137.8,T,T
2643.4,1857.7,2633,1861,T,T
2079.2,385.1,2079.2,356.4,T,T
2429.2,2066.4,2386.9,2114.1,T,T
2004.2,448.6,1989.2,459.7,T,T
1906,533.9,1918.4,543.1,T,T
1976,2547.1,1947,2527.7,T,T
1989.2,459.7,1981.2,472.8,T,T
934.3,1520.1,936.3,1514,T,T
1298,1155,1298,1156,T,T
1227.1,1242,1198.1,1241.7,T,T
1811.3,626.3,1845.3,626,T,T
3356.3,1129.9,3365.1,1156.7,T,T
2281.1,2215.8,2285.4,2226.1,T,T
936.3,1514,944.1,1518.6,T,T
1762.1,716.5,1720.3,716.1,T,T
1340.2,1104.1,1338.3,1135.1,T,T
1610,878.2,1557.5,877.9,T,T
2621,1904,2633,1861,T,T
1761.4,684.4,1762.1,716.5,T,T
1761.4,684.4,1792.8,685.5,T,T
2131,358,2079.2,356.4,T,T
2643.4,1857.7,2659.5,1861.2,T,T
1805.3,640.6,1794,649,T,T
2013.9,463.2,1989.2,459.7,T,T
2004.2,448.6,2013.9,463.2,T,T
2079.2,385.1,2060.8,408.9,T,T
1925.5,549.1,1918.4,543.1,T,T
2535,1979,2548,1972,T,T
934.3,1520.1,935.8,1549,T,T
2404.5,2133.1,2386.9,2114.1,F,F
1227.1,1242,1230.1,1244.7,T,T
961.2,1520.2,944.1,1518.6,T,T
1298,1155,1336.8,1155.4,T,T
1511,899.3,1508.1,1029.2,T,T
2307,2225,2285.4,2226.1,T,T
1961.1,2566.6,1976,2547.1,T,T
2231.3,2242.9,2263.7,2314.7,T,T
1794,649,1792.8,685.5,T,T
1697.1,858.2,1605,803.6,T,T
2061.3,433.8,2060.8,408.9,T,T
1338.3,1135.1,1336.8,1155.4,T,T
2079.2,385.1,2119.2,385.6,T,T
941.9,1496.7,1009.5,1523.8,T,T
1458,1033,1455,1026,T,T
1338.3,1135.1,1364.6,1137.5,T,T
1720.3,798.2,1720.3,738.6,T,T
2508,2056,2535,1979,T,T
936.8,1562.1,935.8,1549,T,T
1480.9,900.8,1477.8,1124,T,T
949.2,1551.5,935.8,1549,T,T
1092.1,1416.5,1061.5,1415.2,T,T
1458,1033,1453,1042,T,T
2411,2141,2404.5,2133.1,T,T
2561,2015,2535,1979,T,T
2352,2206,2307,2225,T,T
1458,1033,1479,1025,T,T
2002.8,2567.6,1976,2547.1,T,T
1537.1,900,1663.9,900,T,T
2154.8,357.1,2131,358,T,T
2013.9,463.2,2060.3,466.1,T,T
1907.7,626,1845.3,626,T,T
2548,1972,2574,2007,T,T
997.5,1530.6,961.2,1520.2,T,T
1360.3,1156.7,1336.8,1155.4,T,T
1720.3,738.6,1761.7,791.5,T,T
1805.3,640.6,1926.5,640.6,T,T
1423.6,1139.7,1423,1026.6,T,T
1085.5,1421.2,1092.1,1416.5,T,T
2136.6,357.1,2136.2,385.3,T,T
953.7,1564.1,936.8,1562.1,T,T
3365.1,1156.7,3380.1,1213.1,T,T
949.2,1551.5,963.1,1555.5,T,T
1360.3,1156.7,1364.6,1137.5,T,T
2061.3,433.8,2060.3,466.1,T,T
825.5,1663.3,857.4,1675.9,T,T
2316.8,2289.5,2285.4,2226.1,T,T
1792,708,1792.8,685.5,T,T
2119.2,385.6,2136.2,385.3,T,T
1925.5,549.1,1926.5,626.5,T,T
2061.3,433.8,2080.7,452.2,T,T
2726.1,1879.2,2659.5,1861.2,T,T
1762.1,716.5,1761.7,791.5,T,T
1225.3,1304.9,1198,1304.9,T,T
1061.5,1415.2,1061.5,1497,T,T
2443,2136,2411,2141,T,T
953.7,1564.1,953.8,1567.1,T,T
960.1,1565.8,953.7,1564.1,T,T
1697.1,858.2,1610,878.2,T,T
1969.6,2592.4,1978.4,2599.1,T,T
1925.5,549.1,1974.2,596.7,T,T
2415,2169,2352,2206,T,T
2263.7,2314.7,2276.8,2292.2,T,T
1410.6,1138.1,1364.6,1137.5,T,T
2291.3,2286.7,2276.8,2292.2,T,T
1084.6,1461,1085.5,1421.2,T,T
2002.8,2567.6,1978.4,2599.1,T,T
3262.7,1287.4,3307.5,1291.8,T,T
975.7,1559.6,963.1,1555.5,T,T
1085.5,1421.2,1084.6,1465,T,T
1360.4,1164.8,1368.3,1164.8,T,T
1134.1,1416.2,1092.1,1416.5,T,T
2060.3,472.2,2060.3,466.1,T,T
2164.3,384.6,2154.8,357.1,T,T
2561,2015,2574,2007,T,T
941.6,1622.2,936.8,1562.1,T,T
1961.5,2621.7,1978.4,2599.1,T,T
2080.7,452.2,2060.3,472.2,T,T
960.1,1565.8,972.8,1568.2,T,T
2443,2136,2415,2169,T,T
2164.3,384.6,2136.2,385.3,T,T
1720.3,798.2,1711.4,841.5,T,T
1238,1303.5,1225.3,1304.9,T,T
1335.7,1244.4,1336.8,1155.4,T,T
1537.1,900,1617.8,1020,T,T
2508,2056,2553,2058,T,T
1992.2,2608.3,1978.4,2599.1,T,T
1360.3,1156.7,1409,1156,T,T
2480,2135,2508,2056,T,T
2264.9,2337.6,2263.7,2314.7,T,T
1907.7,626,1926.5,626.5,T,T
2316.8,2289.5,2291.3,2286.7,T,T
975.7,1559.6,990.9,1564.6,T,T
2553,2058,2561,2015,T,T
2415,2169,2424,2180,T,T
1537.1,900,1668.5,987.5,T,T
978.5,1573.7,972.8,1568.2,T,T
1201.4,1391.1,1198,1304.9,T,T
2575,2040,2561,2015,T,T
2480,2135,2443,2136,T,T
1974.7,556.1,1974.2,596.7,T,T
1084.6,1461,1095,1461,T,T
2060.3,472.2,2059.2,510.7,T,T
886.9,1684.1,857.4,1675.9,T,T
1477.8,1124,1479,1025,T,T
1697.1,858.2,1711.4,841.5,T,T
1360.3,1156.7,1361.1,1233.3,T,T
1423.6,1139.7,1410.6,1138.1,T,T
2178.5,384.7,2164.3,384.6,T,T
997.5,1530.6,1039.7,1547.1,T,T
3852.9,558.5,3994.8,809.2,T,T
2415,2169,2469,2162,T,T
1926.5,626.5,1926.5,640.6,T,T
978.7,1594,978.5,1573.7,T,T
1368.3,1164.8,1367.3,1227.1,T,T
2726.1,1879.2,2724,1896,T,T
2002.8,2567.6,2051.3,2604.4,T,T
2575,2040,2553,2058,T,T
1409,1159,1409,1156,T,T
2276.2,2351.7,2264.9,2337.6,T,T
1008.7,1570.7,990.9,1564.6,T,T
1792.8,764,1791.6,804,T,T
2316.8,2289.5,2331.1,2301.7,T,T
1360.3,1156.7,1470.7,1156.7,T,T
1134.1,1416.2,1179,1416,T,T
1224.8,1393.7,1225.3,1304.9,T,T
926.5,1658.5,941.6,1622.2,T,T
1791.6,804,1761.7,791.5,T,T
1084.6,1461,1083.9,1521.1,T,T
3379.5,1273.9,3380.1,1213.1,T,T
2469,2162,2480,2135,T,T
1083.9,1521.1,1084.6,1465,T,T
3379.5,1273.9,3307.5,1291.8,T,T
2726.1,1879.2,2715,1932.4,T,T
886.9,1684.1,908.8,1678,T,T
1760.9,846.2,1761.7,791.5,T,T
886.9,1684.1,902.5,1687.4,T,T
1697.1,858.2,1760.9,846.2,T,T
2061,531.8,2059.2,510.7,T,T
2276.2,2351.7,2262.3,2367.9,T,T
2059.2,510.7,2072.1,521.5,T,T
2256.4,2375.7,2262.3,2367.9,T,T
1134.1,1416.2,1200,1415.7,T,T
1506.5,1125.6,1508.1,1029.2,T,T
2256.4,2375.7,2249.8,2384.5,T,T
2424,2180,2397,2266,T,T
1088.7,1551.4,1009.5,1523.8,T,T
